issuedId,archetypeId,eventName,price,fromUser,toUser,date
901,BT0_MysteryBox_Exclusive,sale,110.0,Ayla,Beauchango0171,2023-10-23T03:27:20.613Z
1647,BT0_MysteryBox_Exclusive,burn,,san33,---,2023-10-22T19:13:52.342Z
1647,BT0_MysteryBox_Exclusive,sale,109.0,ArThurFleck,san33,2023-10-22T19:03:24.808Z
1360,BT0_MysteryBox_Exclusive,burn,,Beauchango0171,---,2023-10-22T16:21:13.366Z
1360,BT0_MysteryBox_Exclusive,sale,108.0,benjavoys667,Beauchango0171,2023-10-22T16:20:25.245Z
1450,BT0_MysteryBox_Exclusive,burn,,DC2jun,---,2023-10-22T16:14:28.868Z
1598,BT0_MysteryBox_Exclusive,burn,,Ghar,---,2023-10-22T10:52:35.438Z
816,BT0_MysteryBox_Exclusive,burn,,Ghar,---,2023-10-22T10:52:26.849Z
1598,BT0_MysteryBox_Exclusive,sale,108.5,lei,Ghar,2023-10-22T10:52:01.554Z
816,BT0_MysteryBox_Exclusive,sale,106.0,AyizakFAM,Ghar,2023-10-22T10:52:01.554Z
1445,BT0_MysteryBox_Exclusive,burn,,HThuan,---,2023-10-22T10:36:11.286Z
1445,BT0_MysteryBox_Exclusive,sale,99.9,DCzhou,HThuan,2023-10-22T10:33:00.438Z
423,BT0_MysteryBox_Exclusive,burn,,soldierJp,---,2023-10-22T01:44:29.790Z
423,BT0_MysteryBox_Exclusive,sale,105.0,goda,soldierJp,2023-10-22T01:44:17.253Z
1720,BT0_MysteryBox_Exclusive,burn,,KrazizenFAM,---,2023-10-21T16:20:41.991Z
1720,BT0_MysteryBox_Exclusive,sale,95.0,Tabitha,KrazizenFAM,2023-10-21T16:20:05.034Z
166,BT0_MysteryBox_Exclusive,burn,,iPace,---,2023-10-21T15:27:53.293Z
166,BT0_MysteryBox_Exclusive,sale,91.88,du1012,iPace,2023-10-21T15:27:37.084Z
1679,BT0_MysteryBox_Exclusive,burn,,komakomachan,---,2023-10-21T11:49:14.241Z
1711,BT0_MysteryBox_Exclusive,burn,,KingPerrin,---,2023-10-21T06:13:08.866Z
1711,BT0_MysteryBox_Exclusive,sale,90.0,Bronte,KingPerrin,2023-10-21T06:12:43.130Z
1762,BT0_MysteryBox_Exclusive,transfer,,Big Time,AndySlaps,2023-10-21T03:40:15.178Z
1758,BT0_MysteryBox_Exclusive,transfer,,Big Time,AndySlaps,2023-10-21T03:40:15.178Z
1760,BT0_MysteryBox_Exclusive,transfer,,Big Time,AndySlaps,2023-10-21T03:40:15.178Z
1761,BT0_MysteryBox_Exclusive,transfer,,Big Time,AndySlaps,2023-10-21T03:40:15.178Z
1759,BT0_MysteryBox_Exclusive,transfer,,Big Time,AndySlaps,2023-10-21T03:40:15.178Z
211,BT0_MysteryBox_Exclusive,burn,,NFTcaff,---,2023-10-20T20:26:53.032Z
211,BT0_MysteryBox_Exclusive,sale,99.0,hao2122,NFTcaff,2023-10-20T20:26:18.884Z
88,BT0_MysteryBox_Exclusive,burn,,Charlie224s,---,2023-10-20T16:10:58.670Z
88,BT0_MysteryBox_Exclusive,sale,99.0,Takoyaki,Charlie224s,2023-10-20T16:10:22.740Z
1488,BT0_MysteryBox_Exclusive,burn,,Mohikano,---,2023-10-20T15:58:55.913Z
1488,BT0_MysteryBox_Exclusive,sale,95.0,KryptoInwestycje,Mohikano,2023-10-20T15:58:08.750Z
1551,BT0_MysteryBox_Exclusive,burn,,MGGkjjin,---,2023-10-20T04:46:57.607Z
1019,BT0_MysteryBox_Exclusive,burn,,SkBmTafi,---,2023-10-19T12:48:47.769Z
1447,BT0_MysteryBox_Exclusive,burn,,hanjunling,---,2023-10-19T01:29:38.445Z
826,BT0_MysteryBox_Exclusive,burn,,Liveinverse,---,2023-10-19T01:06:23.838Z
1038,BT0_MysteryBox_Exclusive,burn,,sss656698,---,2023-10-18T23:22:58.587Z
1038,BT0_MysteryBox_Exclusive,sale,110.0,DarkSweReal,sss656698,2023-10-18T22:30:58.323Z
1755,BT0_MysteryBox_Exclusive,burn,,KingPerrin,---,2023-10-18T18:33:54.620Z
1756,BT0_MysteryBox_Exclusive,burn,,KingPerrin,---,2023-10-18T18:33:19.949Z
1757,BT0_MysteryBox_Exclusive,burn,,KingPerrin,---,2023-10-18T18:32:51.372Z
1757,BT0_MysteryBox_Exclusive,transfer,,Big Time,KingPerrin,2023-10-18T18:24:52.389Z
1755,BT0_MysteryBox_Exclusive,transfer,,Big Time,KingPerrin,2023-10-18T18:24:52.389Z
1756,BT0_MysteryBox_Exclusive,transfer,,Big Time,KingPerrin,2023-10-18T18:24:52.389Z
1166,BT0_MysteryBox_Exclusive,burn,,Dovahkiing,---,2023-10-17T15:38:38.451Z
762,BT0_MysteryBox_Exclusive,burn,,ThePlanter,---,2023-10-17T06:24:47.947Z
762,BT0_MysteryBox_Exclusive,sale,125.0,Biggles,ThePlanter,2023-10-17T06:23:51.292Z
1222,BT0_MysteryBox_Exclusive,burn,,ThePlanter,---,2023-10-17T06:16:57.541Z
1222,BT0_MysteryBox_Exclusive,sale,125.0,Biggles,ThePlanter,2023-10-17T06:15:41.975Z
381,BT0_MysteryBox_Exclusive,burn,,ThePlanter,---,2023-10-17T06:13:51.355Z
381,BT0_MysteryBox_Exclusive,sale,120.0,goda,ThePlanter,2023-10-17T06:09:33.899Z
112,BT0_MysteryBox_Exclusive,burn,,MARS17720393555,---,2023-10-17T04:44:33.437Z
112,BT0_MysteryBox_Exclusive,sale,120.0,goda,MARS17720393555,2023-10-17T04:44:18.172Z
1644,BT0_MysteryBox_Exclusive,burn,,Yuu,---,2023-10-16T23:16:24.362Z
1712,BT0_MysteryBox_Exclusive,burn,,WolfeGod,---,2023-10-16T22:09:03.644Z
1712,BT0_MysteryBox_Exclusive,sale,125.0,Tcb0002,WolfeGod,2023-10-16T22:08:18.403Z
1649,BT0_MysteryBox_Exclusive,burn,,Yojimbo,---,2023-10-16T21:49:19.381Z
1251,BT0_MysteryBox_Exclusive,burn,,zuixuan141,---,2023-10-16T15:13:55.854Z
390,BT0_MysteryBox_Exclusive,burn,,TrinIndo,---,2023-10-16T12:25:21.512Z
649,BT0_MysteryBox_Exclusive,burn,,TrinIndo,---,2023-10-16T12:24:36.492Z
1375,BT0_MysteryBox_Exclusive,burn,,TrinIndo,---,2023-10-16T12:24:05.866Z
1054,BT0_MysteryBox_Exclusive,burn,,TrinIndo,---,2023-10-16T12:23:14.384Z
1428,BT0_MysteryBox_Exclusive,burn,,TrinIndo,---,2023-10-16T12:22:47.514Z
1378,BT0_MysteryBox_Exclusive,burn,,TrinIndo,---,2023-10-16T12:22:15.396Z
1743,BT0_MysteryBox_Exclusive,burn,,xxbyaguila2005xx,---,2023-10-16T12:22:02.388Z
1718,BT0_MysteryBox_Exclusive,burn,,puertorikogog,---,2023-10-16T12:20:06.261Z
1718,BT0_MysteryBox_Exclusive,sale,129.0,Upton,puertorikogog,2023-10-16T12:19:36.289Z
1122,BT0_MysteryBox_Exclusive,burn,,JC3,---,2023-10-16T11:48:38.424Z
1716,BT0_MysteryBox_Exclusive,burn,,Eric333,---,2023-10-16T07:08:50.284Z
1716,BT0_MysteryBox_Exclusive,sale,135.0,Tcb0003,Eric333,2023-10-16T07:08:12.658Z
1118,BT0_MysteryBox_Exclusive,burn,,Limage,---,2023-10-16T02:42:45.355Z
1548,BT0_MysteryBox_Exclusive,burn,,luckydog,---,2023-10-16T01:45:17.756Z
981,BT0_MysteryBox_Exclusive,burn,,luckydog,---,2023-10-16T01:45:00.521Z
127,BT0_MysteryBox_Exclusive,burn,,luckydog,---,2023-10-16T01:44:42.005Z
127,BT0_MysteryBox_Exclusive,sale,138.0,jalenlu,luckydog,2023-10-16T01:41:14.293Z
981,BT0_MysteryBox_Exclusive,sale,137.0,WYQ,luckydog,2023-10-16T01:41:14.293Z
1548,BT0_MysteryBox_Exclusive,sale,137.9,MGGafei,luckydog,2023-10-16T01:41:14.293Z
331,BT0_MysteryBox_Exclusive,burn,,Ballex,---,2023-10-16T00:22:11.701Z
1618,BT0_MysteryBox_Exclusive,burn,,shadoke,---,2023-10-15T23:23:20.763Z
1618,BT0_MysteryBox_Exclusive,sale,135.0,JonzaBobz,shadoke,2023-10-15T23:22:54.854Z
1587,BT0_MysteryBox_Exclusive,burn,,shadoke,---,2023-10-15T23:22:08.840Z
1587,BT0_MysteryBox_Exclusive,sale,137.0,zhangwei7,shadoke,2023-10-15T23:20:10.112Z
370,BT0_MysteryBox_Exclusive,burn,,Tewific,---,2023-10-15T18:01:41.140Z
370,BT0_MysteryBox_Exclusive,sale,141.0,goda,Tewific,2023-10-15T17:54:49.409Z
1741,BT0_MysteryBox_Exclusive,burn,,Hilas,---,2023-10-15T17:25:53.183Z
1741,BT0_MysteryBox_Exclusive,sale,145.0,Biggles,Hilas,2023-10-15T16:56:48.014Z
1546,BT0_MysteryBox_Exclusive,burn,,bitvm,---,2023-10-15T15:51:42.959Z
1546,BT0_MysteryBox_Exclusive,sale,130.0,DavidBeckham,bitvm,2023-10-15T15:51:07.754Z
1258,BT0_MysteryBox_Exclusive,burn,,bitvm,---,2023-10-15T15:50:05.582Z
1258,BT0_MysteryBox_Exclusive,sale,122.0,sanfore,bitvm,2023-10-15T15:49:03.353Z
1694,BT0_MysteryBox_Exclusive,burn,,bitvm,---,2023-10-15T15:47:16.782Z
1709,BT0_MysteryBox_Exclusive,burn,,bitvm,---,2023-10-15T15:46:52.245Z
1725,BT0_MysteryBox_Exclusive,burn,,bitvm,---,2023-10-15T15:46:33.007Z
93,BT0_MysteryBox_Exclusive,burn,,bitvm,---,2023-10-15T15:46:08.208Z
